notebook,notebook_sri_score,int_op,int_op_reproduced,int_op_sri,float_op,float_op_reproduced,float_op_sri,list_op,list_op_reproduced,list_op_sri,tuple_op,tuple_op_reproduced,tuple_op_sri,set_op,set_op_reproduced,set_op_sri,str_op,str_op_reproduced,str_op_sri,dict_op,dict_op_reproduced,dict_op_sri,array_op,array_op_reproduced,array_op_sri,dataframe_op,dataframe_op_reproduced,dataframe_op_sri,other_op,other_op_reproduced,other_op_sri,image_op,image_op_reproduced,stream_op,stream_op_reproduced
6c579b603e257e22e30a5ddba0e562023a5d2dc7.ipynb,0.9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,0,0,0,0,0,0,0,0,0,0,0
e31c9cc71a35cd4accd102228497f0372e73a5ac.ipynb,0.955163769,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,4,0,9,7
5f35915c86cbc581a43401390455633e14ed4e2c.ipynb,0.746351369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
f67959314475a836f05a4a90ec2931fb3002bad3.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
741de2e343445ba35eca3427aeef53bdb4522f3f.ipynb,1,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b8e7141aef231cffdb8741986123a2dc223f17f9.ipynb,0.436614698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,4,1
1a08903bdec66c1437fa63d79fdda22d632a8872.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
c0a1189c82c616ecfea0645f6fb17390fb2cdd5a.ipynb,0.969135802,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,1,5,5,0,0,0,0,0
19495794b2dded58cda0f28377c994f5d5a89157.ipynb,0.999215686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1
575e671b644db99c16612953d84f79d1d303dd9b.ipynb,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,7,7
54de72794cc5a730d2b1e60c64bb72a319609377.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9c767cff2a2b14feffc928f6055a2950647665d8.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
e19173c8dac344a691cab6e5cee49b13c9663814.ipynb,0.896511856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bcf9cec6c1f4307b29ffcbc69c73774ee227ccc9.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47
